locus_tag	ftype	length_bp	gene	EC_number	COG	product
DFNAAEMK_00038	CDS	1083	mraY	2.7.8.13	COG0472	Phospho-N-acetylmuramoyl-pentapeptide-transferase
DFNAAEMK_00039	CDS	1359	murF	6.3.2.10	COG0770	UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase
DFNAAEMK_00040	CDS	1488	murE	6.3.2.13	COG0769	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase
DFNAAEMK_00041	CDS	1767	ftsI	3.4.16.4	COG0768	Peptidoglycan D,D-transpeptidase FtsI
DFNAAEMK_00042	CDS	366	ftsL		COG3116	Cell division protein FtsL
DFNAAEMK_00043	CDS	942	rsmH	2.1.1.199	COG0275	Ribosomal RNA small subunit methyltransferase H
DFNAAEMK_00044	CDS	459	mraZ		COG2001	Transcriptional regulator MraZ
DFNAAEMK_00045	CDS	1005	cra		COG1609	Catabolite repressor/activator
DFNAAEMK_00046	CDS	492	ilvH	2.2.1.6	COG0440	Acetolactate synthase isozyme 3 small subunit
DFNAAEMK_00047	CDS	1725	ilvI	2.2.1.6	COG0028	Acetolactate synthase isozyme 3 large subunit
DFNAAEMK_00048	CDS	945	leuO			HTH-type transcriptional regulator LeuO
DFNAAEMK_00049	CDS	669	hcaR_1			Hca operon transcriptional activator HcaR
DFNAAEMK_00050	CDS	1221	mlc_1		COG1940	Protein mlc
DFNAAEMK_00051	CDS	696	bioD1_1	6.3.3.3	COG0132	ATP-dependent dethiobiotin synthetase BioD 1
DFNAAEMK_00052	CDS	1257	clcB		COG0038	Voltage-gated ClC-type chloride channel ClcB
DFNAAEMK_00053	CDS	615	dmsD		COG3381	Tat proofreading chaperone DmsD
DFNAAEMK_00054	CDS	855	dmsC_1		COG3302	Anaerobic dimethyl sulfoxide reductase chain C
DFNAAEMK_00055	CDS	618	dmsB_1		COG0437	Anaerobic dimethyl sulfoxide reductase chain B
DFNAAEMK_00056	CDS	2397	ynfF	1.8.99.-	COG1104	putative dimethyl sulfoxide reductase chain YnfF
DFNAAEMK_00057	CDS	2427	ynfE	1.8.99.-	COG0243	Putative dimethyl sulfoxide reductase chain YnfE
DFNAAEMK_00058	CDS	306	ynfD			putative protein YnfD
DFNAAEMK_00059	CDS	747				hypothetical protein
DFNAAEMK_00060	CDS	561	speG	2.3.1.57	COG1670	Spermidine N(1)-acetyltransferase
DFNAAEMK_00061	CDS	342				hypothetical protein
DFNAAEMK_00062	CDS	327				hypothetical protein
DFNAAEMK_00063	CDS	1215	rspA		COG4948	Starvation-sensing protein RspA
DFNAAEMK_00064	CDS	1020	rspB	1.1.1.-	COG1063	Starvation-sensing protein RspB
DFNAAEMK_00065	CDS	795	intQ_1		COG0582	Putative defective protein IntQ
DFNAAEMK_00066	CDS	909	melR			Melibiose operon regulatory protein
DFNAAEMK_00067	CDS	1356	melA	3.2.1.22	COG1486	Alpha-galactosidase
DFNAAEMK_00068	CDS	1410	melB		COG2211	Melibiose carrier protein
DFNAAEMK_00069	CDS	630	yjdF		COG3647	Inner membrane protein YjdF
DFNAAEMK_00070	CDS	1647	fumB	4.2.1.2	COG1838	Fumarate hydratase class I, anaerobic
DFNAAEMK_00071	CDS	1341	dcuB		COG2704	Anaerobic C4-dicarboxylate transporter DcuB
DFNAAEMK_00072	CDS	720	dcuR		COG4565	Transcriptional regulatory protein DcuR
DFNAAEMK_00073	CDS	1632	dcuS	2.7.13.3	COG3290	Sensor histidine kinase DcuS
DFNAAEMK_00074	CDS	231				hypothetical protein
DFNAAEMK_00075	CDS	273	yjdJ		COG2388	putative protein YjdJ
DFNAAEMK_00076	CDS	297	ghoS	3.1.-.-		Endoribonuclease antitoxin GhoS
DFNAAEMK_00077	CDS	174	ghoT			Toxin GhoT
DFNAAEMK_00078	CDS	1518	lysU	6.1.1.6	COG1190	Lysine--tRNA ligase, heat inducible
DFNAAEMK_00079	CDS	1458	dtpC		COG3104	Dipeptide and tripeptide permease C
DFNAAEMK_00080	CDS	2148	cadA	4.1.1.18	COG1982	Inducible lysine decarboxylase
DFNAAEMK_00081	CDS	603	cadB_1		COG0531	putative cadaverine/lysine antiporter
DFNAAEMK_00082	CDS	720	cadB_2		COG0531	putative cadaverine/lysine antiporter
DFNAAEMK_00083	CDS	1539	cadC		COG3710	Transcriptional activator CadC
DFNAAEMK_00084	tRNA	76				tRNA-Phe(gaa)
DFNAAEMK_00085	CDS	576				hypothetical protein
DFNAAEMK_00086	CDS	1698	dsbD	1.8.1.8	COG4232	Thiol:disulfide interchange protein DsbD
DFNAAEMK_00087	CDS	339	cutA		COG1324	Divalent-cation tolerance protein CutA
DFNAAEMK_00088	CDS	1302	dcuA		COG2704	Anaerobic C4-dicarboxylate transporter DcuA
DFNAAEMK_00089	CDS	1437	aspA	4.3.1.1	COG1027	Aspartate ammonia-lyase
DFNAAEMK_00090	CDS	477				hypothetical protein
DFNAAEMK_00091	CDS	1257	yjeH		COG0531	L-methionine/branched-chain amino acid exporter YjeH
DFNAAEMK_00092	CDS	294	groS		COG0234	10 kDa chaperonin
DFNAAEMK_00093	CDS	1647	groL			60 kDa chaperonin
DFNAAEMK_00094	CDS	354				hypothetical protein
DFNAAEMK_00095	CDS	870				hypothetical protein
DFNAAEMK_00096	CDS	1029	epmB	5.4.3.-	COG1509	L-lysine 2,3-aminomutase
DFNAAEMK_00097	CDS	567	efp		COG0231	Elongation factor P
DFNAAEMK_00098	CDS	126				hypothetical protein
DFNAAEMK_00099	CDS	147				hypothetical protein
DFNAAEMK_00100	CDS	318	sugE		COG2076	Quaternary ammonium compound-resistance protein SugE
DFNAAEMK_00101	CDS	534	blc		COG3040	Outer membrane lipoprotein Blc
DFNAAEMK_00102	CDS	1134	ampC	3.5.2.6	COG1680	Beta-lactamase
DFNAAEMK_00103	CDS	360	frdD		COG3080	Fumarate reductase subunit D
DFNAAEMK_00104	CDS	396	frdC		COG3029	Fumarate reductase subunit C
DFNAAEMK_00105	CDS	471	frdB_1	1.3.5.1	COG0479	Fumarate reductase iron-sulfur subunit
DFNAAEMK_00106	CDS	267	frdB_2	1.3.5.1	COG0479	Fumarate reductase iron-sulfur subunit
DFNAAEMK_00107	CDS	1809	frdA	1.3.5.4	COG1053	Fumarate reductase flavoprotein subunit
DFNAAEMK_00108	CDS	978	epmA	6.3.1.-	COG2269	Elongation factor P--(R)-beta-lysine ligase
DFNAAEMK_00109	CDS	1458	yjeM			Inner membrane transporter YjeM
DFNAAEMK_00110	CDS	315				hypothetical protein
DFNAAEMK_00111	CDS	303	yjeO			Inner membrane protein YjeO
DFNAAEMK_00112	CDS	3324	mscM		COG3264	Miniconductance mechanosensitive channel MscM
DFNAAEMK_00113	CDS	969	psd	4.1.1.65	COG0688	Phosphatidylserine decarboxylase proenzyme
DFNAAEMK_00114	CDS	1053	rsgA	3.6.1.-	COG1162	Small ribosomal subunit biogenesis GTPase RsgA
DFNAAEMK_00115	CDS	546	orn	3.1.-.-	COG1949	Oligoribonuclease
DFNAAEMK_00116	tRNA	76				tRNA-Gly(gcc)
DFNAAEMK_00117	tRNA	76				tRNA-Gly(gcc)
DFNAAEMK_00118	CDS	1140	queG	1.17.99.6	COG1600	Epoxyqueuosine reductase
DFNAAEMK_00119	CDS	1272	nnr		COG0062	Bifunctional NAD(P)H-hydrate repair enzyme Nnr
DFNAAEMK_00120	CDS	462	tsaE		COG0802	tRNA threonylcarbamoyladenosine biosynthesis protein TsaE
DFNAAEMK_00121	CDS	1338	amiB	3.5.1.28	COG0860	N-acetylmuramoyl-L-alanine amidase AmiB
DFNAAEMK_00122	CDS	1848	mutL		COG0323	DNA mismatch repair protein MutL
DFNAAEMK_00123	CDS	951	miaA	2.5.1.75	COG0324	tRNA dimethylallyltransferase
DFNAAEMK_00124	CDS	309	hfq		COG1923	RNA-binding protein Hfq
DFNAAEMK_00125	CDS	1281	hflX		COG2262	GTPase HflX
DFNAAEMK_00126	CDS	1260	hflK		COG0330	Modulator of FtsH protease HflK
DFNAAEMK_00127	CDS	1005	hflC		COG0330	Modulator of FtsH protease HflC
DFNAAEMK_00128	CDS	198				hypothetical protein
DFNAAEMK_00129	CDS	1299	purA	6.3.4.4	COG0104	Adenylosuccinate synthetase
DFNAAEMK_00130	CDS	426	nsrR		COG1959	HTH-type transcriptional repressor NsrR
DFNAAEMK_00131	CDS	2442	rnr	3.1.13.1	COG0557	Ribonuclease R
DFNAAEMK_00132	CDS	732	rlmB	2.1.1.185	COG0566	23S rRNA (guanosine-2'-O-)-methyltransferase RlmB
DFNAAEMK_00133	CDS	402				hypothetical protein
DFNAAEMK_00134	CDS	699				hypothetical protein
DFNAAEMK_00135	CDS	660				hypothetical protein
DFNAAEMK_00136	CDS	399				hypothetical protein
DFNAAEMK_00137	CDS	639				hypothetical protein
DFNAAEMK_00138	CDS	1164	yjfC	6.3.1.-	COG0754	Putative acid--amine ligase YjfC
DFNAAEMK_00139	CDS	1626	aidB	1.3.99.-	COG1960	Putative acyl-CoA dehydrogenase AidB
DFNAAEMK_00140	CDS	276				hypothetical protein
DFNAAEMK_00141	CDS	330	bsmA			Lipoprotein BsmA
DFNAAEMK_00142	CDS	750				hypothetical protein
DFNAAEMK_00143	CDS	756	ulaR		COG1349	HTH-type transcriptional regulator UlaR
DFNAAEMK_00144	CDS	1065	ulaG	3.1.1.-	COG2220	putative L-ascorbate-6-phosphate lactonase UlaG
DFNAAEMK_00145	CDS	1398	ulaA		COG3037	Ascorbate-specific PTS system EIIC component
DFNAAEMK_00146	CDS	306	ulaB	2.7.1.194	COG3414	Ascorbate-specific PTS system EIIB component
DFNAAEMK_00147	CDS	465	ulaC		COG1762	Ascorbate-specific PTS system EIIA component
DFNAAEMK_00148	CDS	651	ulaD	4.1.1.85	COG0269	3-keto-L-gulonate-6-phosphate decarboxylase UlaD
DFNAAEMK_00149	CDS	855	ulaE_1	5.1.3.22	COG3623	L-ribulose-5-phosphate 3-epimerase UlaE
DFNAAEMK_00150	CDS	687	ulaF	5.1.3.4	COG0235	L-ribulose-5-phosphate 4-epimerase UlaF
DFNAAEMK_00151	CDS	276				hypothetical protein
DFNAAEMK_00152	CDS	396	rpsF		COG0360	30S ribosomal protein S6
DFNAAEMK_00153	CDS	315	priB		COG2965	Primosomal replication protein N
DFNAAEMK_00154	CDS	228	rpsR		COG0238	30S ribosomal protein S18
DFNAAEMK_00155	CDS	450	rplI		COG0359	50S ribosomal protein L9
DFNAAEMK_00156	CDS	795				hypothetical protein
DFNAAEMK_00157	CDS	327				hypothetical protein
DFNAAEMK_00158	CDS	639				hypothetical protein
DFNAAEMK_00159	CDS	621	fklB	5.2.1.8	COG0545	FKBP-type 22 kDa peptidyl-prolyl cis-trans isomerase
DFNAAEMK_00160	CDS	1413	cycA		COG1113	D-serine/D-alanine/glycine transporter
DFNAAEMK_00161	CDS	663	ytfE		COG2846	Iron-sulfur cluster repair protein YtfE
DFNAAEMK_00162	CDS	966	ytfF			Inner membrane protein YtfF
DFNAAEMK_00163	CDS	861	qorB	1.6.5.2	COG0702	Quinone oxidoreductase 2
DFNAAEMK_00164	CDS	381				hypothetical protein
DFNAAEMK_00165	CDS	1944	cpdB	3.1.3.6	COG0737	2',3'-cyclic-nucleotide 2'-phosphodiesterase/3'-nucleotidase
DFNAAEMK_00166	CDS	741	cysQ	3.1.3.7	COG1218	3'(2'),5'-bisphosphate nucleotidase CysQ
DFNAAEMK_00167	CDS	939				hypothetical protein
DFNAAEMK_00168	CDS	555	ytfJ		COG3054	putative protein YtfJ
DFNAAEMK_00169	CDS	207				hypothetical protein
DFNAAEMK_00170	CDS	1344				hypothetical protein
DFNAAEMK_00171	CDS	639	msrA	1.8.4.11	COG0225	Peptide methionine sulfoxide reductase MsrA
DFNAAEMK_00172	CDS	1734	tamA		COG0729	Translocation and assembly module subunit TamA
DFNAAEMK_00173	CDS	3780	tamB		COG2911	Translocation and assembly module subunit TamB
DFNAAEMK_00174	CDS	342	ytfP		COG2105	Gamma-glutamylcyclotransferase family protein YtfP
DFNAAEMK_00175	CDS	252	chpS			Antitoxin ChpS
DFNAAEMK_00176	CDS	315	chpB	3.1.-.-	COG2337	Endoribonuclease toxin ChpB
DFNAAEMK_00177	CDS	531	ppa	3.6.1.1	COG0221	Inorganic pyrophosphatase
DFNAAEMK_00178	CDS	957	ytfQ			ABC transporter periplasmic-binding protein YtfQ
DFNAAEMK_00179	CDS	450	yidI			Inner membrane protein YidI
DFNAAEMK_00180	CDS	1494	betC	3.1.6.6	COG3119	Choline-sulfatase
DFNAAEMK_00181	CDS	1716	yidK		COG4146	putative symporter YidK
DFNAAEMK_00182	CDS	894	rhaR_1			HTH-type transcriptional activator RhaR
DFNAAEMK_00183	CDS	177	aglB_1	3.2.1.122	COG1486	6-phospho-alpha-glucosidase
DFNAAEMK_00184	CDS	639	aglB_2	3.2.1.122	COG1486	6-phospho-alpha-glucosidase
DFNAAEMK_00185	CDS	486	malP_1		COG1263	PTS system maltose-specific EIICB component
DFNAAEMK_00186	CDS	567	slp_1		COG3065	Outer membrane protein slp
DFNAAEMK_00187	CDS	531	dctR		COG2771	HTH-type transcriptional regulator DctR
DFNAAEMK_00188	CDS	576	sapB_1		COG1285	Protein SapB
DFNAAEMK_00189	CDS	339	hdeB			Acid stress chaperone HdeB
DFNAAEMK_00190	CDS	333	hdeA			Acid stress chaperone HdeA
DFNAAEMK_00191	CDS	573	hdeD		COG3247	Protein HdeD
DFNAAEMK_00192	CDS	528	gadE			Transcriptional regulator GadE
DFNAAEMK_00193	CDS	279				hypothetical protein
DFNAAEMK_00194	CDS	1158	mdtE			Multidrug resistance protein MdtE
DFNAAEMK_00195	CDS	3114	mdtF		COG0841	Multidrug resistance protein MdtF
DFNAAEMK_00196	CDS	729	gadW			HTH-type transcriptional regulator GadW
DFNAAEMK_00197	CDS	825	gadX_1			HTH-type transcriptional regulator GadX
DFNAAEMK_00198	CDS	738				hypothetical protein
DFNAAEMK_00199	CDS	462				hypothetical protein
DFNAAEMK_00200	CDS	111	efeU_1		COG0672	Ferrous iron permease EfeU
DFNAAEMK_00201	CDS	720	efeU_2		COG0672	Ferrous iron permease EfeU
DFNAAEMK_00202	CDS	1128	efeO		COG2822	Iron uptake system component EfeO
DFNAAEMK_00203	CDS	1272	efeB	1.11.1.-	COG2837	Deferrochelatase/peroxidase EfeB
DFNAAEMK_00204	CDS	1065	phoH		COG1702	Protein PhoH
DFNAAEMK_00205	CDS	414	pgaD			Biofilm PGA synthesis protein PgaD
DFNAAEMK_00206	CDS	1326	pgaC	2.4.1.-	COG1215	Poly-beta-1,6-N-acetyl-D-glucosamine synthase
DFNAAEMK_00207	CDS	2019	pgaB	3.5.1.-	COG0726	Poly-beta-1,6-N-acetyl-D-glucosamine N-deacetylase
DFNAAEMK_00208	CDS	2424	pgaA			Poly-beta-1,6-N-acetyl-D-glucosamine export protein
DFNAAEMK_00209	CDS	1359	dgcT	2.7.7.65		putative diguanylate cyclase DgcT
DFNAAEMK_00210	CDS	594	rclC		COG3059	Inner membrane protein RclC
DFNAAEMK_00211	CDS	1326	rclA		COG1249	putative pyridine nucleotide-disulfide oxidoreductase RclA
DFNAAEMK_00212	CDS	855	rclR		COG2207	RCS-specific HTH-type transcriptional activator RclR
DFNAAEMK_00213	CDS	720	lutA_1		COG0247	Lactate utilization protein A
DFNAAEMK_00214	CDS	438				hypothetical protein
DFNAAEMK_00215	CDS	168				hypothetical protein
DFNAAEMK_00216	CDS	591				Tn3 family transposase ISYps3
DFNAAEMK_00217	CDS	234	ynaE			putative protein YnaE
DFNAAEMK_00218	CDS	735				hypothetical protein
DFNAAEMK_00219	CDS	375				hypothetical protein
DFNAAEMK_00220	CDS	852	pdxK	2.7.1.35	COG2240	Pyridoxine/pyridoxal/pyridoxamine kinase
DFNAAEMK_00221	CDS	510	crr		COG2190	PTS system glucose-specific EIIA component
DFNAAEMK_00222	CDS	1728	ptsI	2.7.3.9	COG1080	Phosphoenolpyruvate-protein phosphotransferase
DFNAAEMK_00223	CDS	258	ptsH		COG1925	Phosphocarrier protein HPr
DFNAAEMK_00224	CDS	972	cysK	2.5.1.47	COG0031	Cysteine synthase A
DFNAAEMK_00225	CDS	762	cysZ		COG2981	Sulfate transporter CysZ
DFNAAEMK_00226	CDS	987	zipA		COG3115	Cell division protein ZipA
DFNAAEMK_00227	CDS	2016	ligA	6.5.1.2	COG0272	DNA ligase
DFNAAEMK_00228	CDS	219				hypothetical protein
DFNAAEMK_00229	CDS	999				hypothetical protein
DFNAAEMK_00230	CDS	927	cynR_1			HTH-type transcriptional regulator CynR
DFNAAEMK_00231	CDS	765				hypothetical protein
DFNAAEMK_00232	CDS	834	xapA	2.4.2.1	COG0005	Purine nucleoside phosphorylase 2
DFNAAEMK_00233	CDS	1257	xapB			Xanthosine permease
DFNAAEMK_00234	CDS	159				hypothetical protein
DFNAAEMK_00235	CDS	885	hcaR_2			Hca operon transcriptional activator HcaR
DFNAAEMK_00236	CDS	1032	ynaI		COG0668	Low conductance mechanosensitive channel YnaI
DFNAAEMK_00237	CDS	1614	mppA		COG4166	Periplasmic murein peptide-binding protein
DFNAAEMK_00238	CDS	900	pgrR_1			HTH-type transcriptional regulator PgrR
DFNAAEMK_00239	CDS	921	ycjY		COG1073	putative protein YcjY
DFNAAEMK_00240	CDS	183				hypothetical protein
DFNAAEMK_00241	CDS	729	mpaA		COG2866	Protein MpaA
DFNAAEMK_00242	CDS	966	ycjG	5.1.1.20	COG4948	L-Ala-D/L-Glu epimerase
DFNAAEMK_00243	CDS	507	tpx	1.11.1.15	COG2077	Thiol peroxidase
DFNAAEMK_00244	CDS	1542	tyrR		COG3283	Transcriptional regulatory protein TyrR
DFNAAEMK_00245	CDS	1062				hypothetical protein
DFNAAEMK_00246	CDS	1398	ycjX		COG3106	putative protein YcjX
DFNAAEMK_00247	CDS	999	purR_1		COG1609	HTH-type transcriptional repressor PurR
DFNAAEMK_00248	CDS	906	ompG			Outer membrane protein G
DFNAAEMK_00249	CDS	969	ugpC_1	3.6.3.20	COG3839	sn-glycerol-3-phosphate import ATP-binding protein UgpC
DFNAAEMK_00250	CDS	660	ycjU	5.4.2.6	COG0637	Beta-phosphoglucomutase
DFNAAEMK_00251	CDS	2268	kojP	2.4.1.230		Kojibiose phosphorylase
DFNAAEMK_00252	CDS	1056	iolG	1.1.1.18	COG0673	Myo-inositol 2-dehydrogenase
DFNAAEMK_00253	CDS	789	iolE	4.2.1.44		Inosose dehydratase
DFNAAEMK_00254	CDS	1053	tdh_1	1.1.1.103		L-threonine 3-dehydrogenase
DFNAAEMK_00255	CDS	843	ycjP		COG0395	Inner membrane ABC transporter permease protein YcjP
DFNAAEMK_00256	CDS	882	ycjO		COG1175	Inner membrane ABC transporter permease protein YcjO
DFNAAEMK_00257	CDS	1293				hypothetical protein
DFNAAEMK_00258	CDS	1680	ycjM	2.4.1.-	COG0366	Glucosylglycerate phosphorylase
DFNAAEMK_00259	CDS	315	pspE	2.8.1.1	COG0607	Thiosulfate sulfurtransferase PspE
DFNAAEMK_00260	CDS	222	pspD			Phage shock protein D
DFNAAEMK_00261	CDS	360	pspC		COG1983	Phage shock protein C
DFNAAEMK_00262	CDS	225	pspB_1			Phage shock protein B
DFNAAEMK_00263	CDS	669	pspA		COG1842	Phage shock protein A
DFNAAEMK_00264	CDS	978	pspF		COG1221	Psp operon transcriptional activator
DFNAAEMK_00265	CDS	1266	puuE	2.6.1.19	COG0160	4-aminobutyrate aminotransferase PuuE
DFNAAEMK_00266	CDS	1281	puuB	1.4.3.-		Gamma-glutamylputrescine oxidoreductase
DFNAAEMK_00267	CDS	1488	puuC	1.2.1.5	COG1012	NADP/NAD-dependent aldehyde dehydrogenase PuuC
DFNAAEMK_00268	CDS	558	puuR			HTH-type transcriptional regulator PuuR
DFNAAEMK_00269	CDS	753	puuD	3.5.1.94	COG2071	Gamma-glutamyl-gamma-aminobutyrate hydrolase PuuD
DFNAAEMK_00270	CDS	1419	puuA	6.3.1.11	COG0174	Gamma-glutamylputrescine synthetase PuuA
DFNAAEMK_00271	CDS	1386	puuP		COG0531	Putrescine importer PuuP
DFNAAEMK_00272	CDS	246				hypothetical protein
DFNAAEMK_00273	CDS	393				hypothetical protein
DFNAAEMK_00274	CDS	1164	fadA	2.3.1.16	COG0183	3-ketoacyl-CoA thiolase FadA
DFNAAEMK_00275	CDS	2190	fadB		COG1024	Fatty acid oxidation complex subunit alpha
DFNAAEMK_00276	CDS	1332	pepQ	3.4.13.9	COG0006	Xaa-Pro dipeptidase
DFNAAEMK_00277	CDS	615	yigZ		COG1739	IMPACT family member YigZ
DFNAAEMK_00278	CDS	1452	trkH		COG0168	Trk system potassium uptake protein TrkH
DFNAAEMK_00279	CDS	546	hemG	1.3.5.3	COG4635	Protoporphyrinogen IX dehydrogenase [menaquinone]
DFNAAEMK_00280	CDS	3801				hypothetical protein
DFNAAEMK_00281	CDS	1251	rng	3.1.26.-	COG1530	Ribonuclease G
DFNAAEMK_00282	CDS	594	yhdE		COG0424	Maf-like protein YhdE
DFNAAEMK_00283	CDS	489	mreD		COG2891	Rod shape-determining protein MreD
DFNAAEMK_00284	CDS	1104	mreC		COG1792	Cell shape-determining protein MreC
DFNAAEMK_00285	CDS	1044	mreB		COG1077	Rod shape-determining protein MreB
DFNAAEMK_00286	CDS	1941	csrD			RNase E specificity factor CsrD
DFNAAEMK_00287	CDS	975	acuI	1.3.1.84	COG0604	putative acrylyl-CoA reductase AcuI
DFNAAEMK_00288	CDS	471	accB		COG0511	Biotin carboxyl carrier protein of acetyl-CoA carboxylase
DFNAAEMK_00289	CDS	1350	accC	6.3.4.14	COG0439	Biotin carboxylase
DFNAAEMK_00290	CDS	243	yhdT		COG3924	putative membrane protein YhdT
DFNAAEMK_00291	CDS	1452	panF		COG4145	Sodium/pantothenate symporter
DFNAAEMK_00292	CDS	882	prmA	2.1.1.-	COG2264	Ribosomal protein L11 methyltransferase
DFNAAEMK_00293	CDS	966	dus	1.3.1.-	COG0042	putative tRNA-dihydrouridine synthase
DFNAAEMK_00294	CDS	297	fis		COG2901	DNA-binding protein Fis
DFNAAEMK_00295	CDS	885	yhdJ	2.1.1.72	COG0863	DNA adenine methyltransferase YhdJ
DFNAAEMK_00296	CDS	180				hypothetical protein
DFNAAEMK_00297	CDS	228				hypothetical protein
DFNAAEMK_00298	CDS	675	gltK		COG0765	Glutamate/aspartate import permease protein GltK
DFNAAEMK_00299	CDS	726	glnQ_1			Glutamine transport ATP-binding protein GlnQ
DFNAAEMK_00300	CDS	936	rihA	3.2.-.-	COG1957	Pyrimidine-specific ribonucleoside hydrolase RihA
DFNAAEMK_00301	CDS	1671	hscC		COG0443	Chaperone protein HscC
DFNAAEMK_00302	CDS	1452				hypothetical protein
DFNAAEMK_00303	CDS	708				hypothetical protein
DFNAAEMK_00304	CDS	555	ybeT		COG0790	Sel1-repeat-containing protein YbeT
DFNAAEMK_00305	CDS	1428				hypothetical protein
DFNAAEMK_00306	CDS	708				hypothetical protein
DFNAAEMK_00307	CDS	1221				hypothetical protein
DFNAAEMK_00308	CDS	903	ybdO_1			putative HTH-type transcriptional regulator YbdO
DFNAAEMK_00309	CDS	747	dsbG		COG1651	Thiol:disulfide interchange protein DsbG
DFNAAEMK_00310	CDS	564	ahpC	1.11.1.15	COG0450	Alkyl hydroperoxide reductase C
DFNAAEMK_00311	CDS	1596	ahpF	1.8.1.-	COG3634	Alkyl hydroperoxide reductase subunit F
DFNAAEMK_00312	CDS	429	uspG		COG0589	Universal stress protein UP12
DFNAAEMK_00313	CDS	1239		1.1.1.1	COG1063	putative zinc-binding alcohol dehydrogenase
DFNAAEMK_00314	CDS	90				hypothetical protein
DFNAAEMK_00315	CDS	411	rnk		COG0782	Regulator of nucleoside diphosphate kinase
DFNAAEMK_00316	CDS	807	rna	3.1.27.6	COG3719	Ribonuclease I
DFNAAEMK_00317	CDS	1464	ttdT_1		COG0471	L-tartrate/succinate antiporter
DFNAAEMK_00318	CDS	879	citG	2.4.2.52	COG1767	2-(5''-triphosphoribosyl)-3'-dephosphocoenzyme-A synthase
